upcard,bust,17,18,19,20,21
2,0.353608,0.139809,0.134907,0.129655,0.124026,0.117993
3,0.373875,0.135034,0.130482,0.125581,0.120329,0.1147
4,0.394468,0.13049,0.125938,0.121386,0.116485,0.111233
5,0.416404,0.122251,0.122251,0.1177,0.113148,0.108246
6,0.42315,0.165438,0.106267,0.106267,0.101715,0.0971633
7,0.262312,0.368566,0.137797,0.0786254,0.0786254,0.0740737
8,0.244741,0.128567,0.359336,0.128567,0.0693949,0.0693949
9,0.228425,0.119995,0.119995,0.350765,0.119995,0.0608238
10,0.212109,0.111424,0.111424,0.111424,0.342194,0.111424
A,0.115286,0.130789,0.130789,0.130789,0.130789,0.361558
