level,picks,hits,multiplier
CLASSIC,1,0,0
CLASSIC,1,1,3.96
CLASSIC,2,0,0
CLASSIC,2,1,1.9
CLASSIC,2,2,4.5
CLASSIC,3,0,0
CLASSIC,3,1,1
CLASSIC,3,2,3.1
CLASSIC,3,3,10.4
CLASSIC,4,0,0
CLASSIC,4,1,0.8
CLASSIC,4,2,1.8
CLASSIC,4,3,5
CLASSIC,4,4,22.5
CLASSIC,5,0,0
CLASSIC,5,1,0.25
CLASSIC,5,2,1.4
CLASSIC,5,3,4.1
CLASSIC,5,4,16.5
CLASSIC,5,5,36
CLASSIC,6,0,0
CLASSIC,6,1,0
CLASSIC,6,2,1
CLASSIC,6,3,3.68
CLASSIC,6,4,7
CLASSIC,6,5,16.5
CLASSIC,6,6,40
CLASSIC,7,0,0
CLASSIC,7,1,0
CLASSIC,7,2,0.47
CLASSIC,7,3,3
CLASSIC,7,4,4.5
CLASSIC,7,5,14
CLASSIC,7,6,31
CLASSIC,7,7,60
CLASSIC,8,0,0
CLASSIC,8,1,0
CLASSIC,8,2,0
CLASSIC,8,3,2.2
CLASSIC,8,4,4
CLASSIC,8,5,13
CLASSIC,8,6,22
CLASSIC,8,7,55
CLASSIC,8,8,70
CLASSIC,9,0,0
CLASSIC,9,1,0
CLASSIC,9,2,0
CLASSIC,9,3,1.55
CLASSIC,9,4,3
CLASSIC,9,5,8
CLASSIC,9,6,15
CLASSIC,9,7,44
CLASSIC,9,8,60
CLASSIC,9,9,85
CLASSIC,10,0,0
CLASSIC,10,1,0
CLASSIC,10,2,0
CLASSIC,10,3,1.4
CLASSIC,10,4,2.25
CLASSIC,10,5,4.5
CLASSIC,10,6,8
CLASSIC,10,7,17
CLASSIC,10,8,50
CLASSIC,10,9,80
CLASSIC,10,10,100
LOW,1,0,0.7
LOW,1,1,1.85
LOW,2,0,0
LOW,2,1,2
LOW,2,2,3.8
LOW,3,0,0
LOW,3,1,1.1
LOW,3,2,1.38
LOW,3,3,26
LOW,4,0,0
LOW,4,1,0
LOW,4,2,2.2
LOW,4,3,7.9
LOW,4,4,90
LOW,5,0,0
LOW,5,1,0
LOW,5,2,1.5
LOW,5,3,4.2
LOW,5,4,13
LOW,5,5,300
LOW,6,0,0
LOW,6,1,0
LOW,6,2,1.1
LOW,6,3,2
LOW,6,4,6.2
LOW,6,5,100
LOW,6,6,700
LOW,7,0,0
LOW,7,1,0
LOW,7,2,1.1
LOW,7,3,1.6
LOW,7,4,3.5
LOW,7,5,15
