risk,rows,bucket,multiplier
LOW,8,0,5.6
LOW,8,1,2.1
LOW,8,2,1.1
LOW,8,3,1
LOW,8,4,0.5
LOW,8,5,1
LOW,8,6,1.1
LOW,8,7,2.1
LOW,8,8,5.6
LOW,9,0,5.6
LOW,9,1,2
LOW,9,2,1.6
LOW,9,3,1
LOW,9,4,0.7
LOW,9,5,0.7
LOW,9,6,1
LOW,9,7,1.6
LOW,9,8,2
LOW,9,9,5.6
LOW,10,0,8.9
LOW,10,1,3
LOW,10,2,1.4
LOW,10,3,1.1
LOW,10,4,1
LOW,10,5,0.5
LOW,10,6,1
LOW,10,7,1.1
LOW,10,8,1.4
LOW,10,9,3
LOW,10,10,8.9
LOW,11,0,8.4
LOW,11,1,3
LOW,11,2,1.9
LOW,11,3,1.3
LOW,11,4,1
LOW,11,5,0.7
LOW,11,6,0.7
LOW,11,7,1
LOW,11,8,1.3
LOW,11,9,1.9
LOW,11,10,3
LOW,11,11,8.4
LOW,12,0,10
LOW,12,1,3
LOW,12,2,1.6
LOW,12,3,1.4
LOW,12,4,1.1
LOW,12,5,1
LOW,12,6,0.5
LOW,12,7,1
LOW,12,8,1.1
LOW,12,9,1.4
LOW,12,10,1.6
LOW,12,11,3
LOW,12,12,10
LOW,13,0,8.1
LOW,13,1,4
LOW,13,2,3
LOW,13,3,1.9
LOW,13,4,1.2
LOW,13,5,0.9
LOW,13,6,0.7
LOW,13,7,0.7
LOW,13,8,0.9
LOW,13,9,1.2
LOW,13,10,1.9
LOW,13,11,3
LOW,13,12,4
LOW,13,13,8.1
LOW,14,0,7.1
LOW,14,1,4
LOW,14,2,1.9
LOW,14,3,1.4
LOW,14,4,1.3
LOW,14,5,1.1
LOW,14,6,1
LOW,14,7,0.5
LOW,14,8,1
LOW,14,9,1.1
LOW,14,10,1.3
LOW,14,11,1.4
LOW,14,12,1.9
LOW,14,13,4
LOW,14,14,7.1
LOW,15,0,15
LOW,15,1,8
LOW,15,2,3
LOW,15,3,2
LOW,15,4,1.5
LOW,15,5,1.1
LOW,15,6,1
LOW,15,7,0.7
LOW,15,8,0.7
LOW,15,9,1
LOW,15,10,1.1
LOW,15,11,1.5
LOW,15,12,2
LOW,15,13,3
LOW,15,14,8
LOW,15,15,15
LOW,16,0,16
LOW,16,1,9
LOW,16,2,2
LOW,16,3,1.4
LOW,16,4,1.4
LOW,16,5,1.2
LOW,16,6,1.1
LOW,16,7,1
LOW,16,8,0.5
LOW,16,9,1
LOW,16,10,1.1
LOW,16,11,1.2
LOW,16,12,1.4
LOW,16,13,1.4
LOW,16,14,2
LOW,16,15,9
LOW,16,16,16
MEDIUM,8,0,13
MEDIUM,8,1,3
MEDIUM,8,2,1.3
MEDIUM,8,3,0.7
MEDIUM,8,4,0.4
MEDIUM,8,5,0.7
MEDIUM,8,6,1.3
MEDIUM,8,7,3
MEDIUM,8,8,13
MEDIUM,9,0,18
MEDIUM,9,1,4
MEDIUM,9,2,1.7
MEDIUM,9,3,0.9
MEDIUM,9,4,0.5
MEDIUM,9,5,0.5
MEDIUM,9,6,0.9
MEDIUM,9,7,1.7
MEDIUM,9,8,4
MEDIUM,9,9,18
MEDIUM,10,0,22
MEDIUM,10,1,5
MEDIUM,10,2,2
MEDIUM,10,3,1.4
MEDIUM,10,4,0.6
MEDIUM,10,5,0.4
MEDIUM,10,6,0.6
MEDIUM,10,7,1.4
MEDIUM,10,8,2
MEDIUM,10,9,5
MEDIUM,10,10,22
MEDIUM,11,0,24
MEDIUM,11,1,6
MEDIUM,11,2,3
MEDIUM,11,3,1.8
MEDIUM,11,4,0.7
MEDIUM,11,5,0.5
MEDIUM,11,6,0.5
MEDIUM,11,7,0.7
MEDIUM,11,8,1.8
MEDIUM,11,9,3
MEDIUM,11,10,6
MEDIUM,11,11,24
MEDIUM,12,0,33
MEDIUM,12,1,11
MEDIUM,12,2,4
MEDIUM,12,3,2
MEDIUM,12,4,1.1
MEDIUM,12,5,0.6
MEDIUM,12,6,0.3
MEDIUM,12,7,0.6
MEDIUM,12,8,1.1
MEDIUM,12,9,2
MEDIUM,12,10,4
MEDIUM,12,11,11
MEDIUM,12,12,33
MEDIUM,13,0,43
MEDIUM,13,1,13
MEDIUM,13,2,6
MEDIUM,13,3,3
MEDIUM,13,4,1.3
MEDIUM,13,5,0.7
MEDIUM,13,6,0.4
MEDIUM,13,7,0.4
MEDIUM,13,8,0.7
MEDIUM,13,9,1.3
MEDIUM,13,10,3
MEDIUM,13,11,6
MEDIUM,13,12,13
MEDIUM,13,13,43
MEDIUM,14,0,58
MEDIUM,14,1,15
MEDIUM,14,2,7
MEDIUM,14,3,4
MEDIUM,14,4,1.9
MEDIUM,14,5,1
MEDIUM,14,6,0.5
MEDIUM,14,7,0.2
MEDIUM,14,8,0.5
MEDIUM,14,9,1
MEDIUM,14,10,1.9
MEDIUM,14,11,4
MEDIUM,14,12,7
MEDIUM,14,13,15
MEDIUM,14,14,58
MEDIUM,15,0,88
MEDIUM,15,1,18
MEDIUM,15,2,11
MEDIUM,15,3,5
MEDIUM,15,4,3
MEDIUM,15,5,1.3
MEDIUM,15,6,0.5
MEDIUM,15,7,0.3
MEDIUM,15,8,0.3
MEDIUM,15,9,0.5
MEDIUM,15,10,1.3
MEDIUM,15,11,3
MEDIUM,15,12,5
MEDIUM,15,13,11
MEDIUM,15,14,18
MEDIUM,15,15,88
MEDIUM,16,0,110
MEDIUM,16,1,41
MEDIUM,16,2,10
MEDIUM,16,3,5
MEDIUM,16,4,3
MEDIUM,16,5,1.5
MEDIUM,16,6,1
MEDIUM,16,7,0.5
MEDIUM,16,8,0.3
MEDIUM,16,9,0.5
MEDIUM,16,10,1
MEDIUM,16,11,1.5
MEDIUM,16,12,3
MEDIUM,16,13,5
MEDIUM,16,14,10
MEDIUM,16,15,41
MEDIUM,16,16,110
HIGH,8,0,29
HIGH,8,1,4
HIGH,8,2,1.5
HIGH,8,3,0.3
HIGH,8,4,0.2
HIGH,8,5,0.3
HIGH,8,6,1.5
HIGH,8,7,4
HIGH,8,8,29
HIGH,9,0,43
